id,numTrees,currentLeaf,currDepth,Val_score,Train_score
493.0,41.0,52.0,21.0,0.989,0.998
494.0,41.0,52.0,31.0,0.989,0.998
495.0,41.0,52.0,41.0,0.989,0.998
496.0,41.0,52.0,51.0,0.989,0.998
497.0,41.0,52.0,61.0,0.989,0.998
498.0,41.0,52.0,71.0,0.989,0.998
499.0,41.0,52.0,81.0,0.989,0.998
500.0,41.0,52.0,91.0,0.989,0.998
501.0,41.0,62.0,1.0,0.945,0.918
502.0,41.0,62.0,11.0,0.989,0.999
503.0,41.0,62.0,21.0,0.989,0.999
504.0,41.0,62.0,31.0,0.989,0.999
505.0,41.0,62.0,41.0,0.989,0.999
506.0,41.0,62.0,51.0,0.989,0.999
507.0,41.0,62.0,61.0,0.989,0.999
508.0,41.0,62.0,71.0,0.989,0.999
509.0,41.0,62.0,81.0,0.989,0.999
510.0,41.0,62.0,91.0,0.989,0.999
511.0,41.0,72.0,1.0,0.945,0.918
512.0,41.0,72.0,11.0,0.989,0.999
513.0,41.0,72.0,21.0,0.989,0.999
514.0,41.0,72.0,31.0,0.989,0.999
515.0,41.0,72.0,41.0,0.989,0.999
516.0,41.0,72.0,51.0,0.989,0.999
517.0,41.0,72.0,61.0,0.989,0.999
518.0,41.0,72.0,71.0,0.989,0.999
519.0,41.0,72.0,81.0,0.989,0.999
520.0,41.0,72.0,91.0,0.989,0.999
521.0,41.0,82.0,1.0,0.945,0.918
522.0,41.0,82.0,11.0,0.989,0.999
523.0,41.0,82.0,21.0,0.989,0.999
524.0,41.0,82.0,31.0,0.989,0.999
525.0,41.0,82.0,41.0,0.989,0.999
526.0,41.0,82.0,51.0,0.989,0.999
527.0,41.0,82.0,61.0,0.989,0.999
528.0,41.0,82.0,71.0,0.989,0.999
529.0,41.0,82.0,81.0,0.989,0.999
530.0,41.0,82.0,91.0,0.989,0.999
531.0,41.0,92.0,1.0,0.945,0.918
532.0,41.0,92.0,11.0,0.989,0.999
533.0,41.0,92.0,21.0,0.989,0.999
534.0,41.0,92.0,31.0,0.989,0.999
535.0,41.0,92.0,41.0,0.989,0.999
536.0,41.0,92.0,51.0,0.989,0.999
537.0,41.0,92.0,61.0,0.989,0.999
538.0,41.0,92.0,71.0,0.989,0.999
539.0,41.0,92.0,81.0,0.989,0.999
540.0,41.0,92.0,91.0,0.989,0.999
541.0,41.0,102.0,1.0,0.945,0.918
542.0,41.0,102.0,11.0,0.989,0.999
543.0,41.0,102.0,21.0,0.989,0.999
544.0,41.0,102.0,31.0,0.989,0.999
545.0,41.0,102.0,41.0,0.989,0.999
546.0,41.0,102.0,51.0,0.989,0.999
547.0,41.0,102.0,61.0,0.989,0.999
548.0,41.0,102.0,71.0,0.989,0.999
549.0,41.0,102.0,81.0,0.989,0.999
550.0,41.0,102.0,91.0,0.989,0.999
551.0,51.0,2.0,1.0,0.943,0.928
552.0,51.0,2.0,11.0,0.943,0.928
553.0,51.0,2.0,21.0,0.943,0.928
554.0,51.0,2.0,31.0,0.943,0.928
555.0,51.0,2.0,41.0,0.943,0.928
556.0,51.0,2.0,51.0,0.943,0.928
557.0,51.0,2.0,61.0,0.943,0.928
558.0,51.0,2.0,71.0,0.943,0.928
559.0,51.0,2.0,81.0,0.943,0.928
560.0,51.0,2.0,91.0,0.943,0.928
561.0,51.0,12.0,1.0,0.943,0.928
