id,numTrees,currenmaxtLeaf,currDepth,Val_score,Train_score,minLeaf,maxFea,minSplit,min_impurity_decrease,warm_start
347,1,2,11,0.5,0.5,11,10,12,20,False
348,1,2,11,0.5,0.5,11,10,12,20,True
349,1,2,11,0.791,0.778,11,10,22,0,False
350,1,2,11,0.791,0.778,11,10,22,0,True
351,1,2,11,0.5,0.5,11,10,22,10,False
352,1,2,11,0.5,0.5,11,10,22,10,True
353,1,2,11,0.5,0.5,11,10,22,20,False
354,1,2,11,0.5,0.5,11,10,22,20,True
355,1,2,11,0.791,0.778,11,10,32,0,False
356,1,2,11,0.791,0.778,11,10,32,0,True
357,1,2,11,0.5,0.5,11,10,32,10,False
358,1,2,11,0.5,0.5,11,10,32,10,True
359,1,2,11,0.5,0.5,11,10,32,20,False
360,1,2,11,0.5,0.5,11,10,32,20,True
361,1,2,11,0.644,0.662,21,10,2,0,False
362,1,2,11,0.644,0.662,21,10,2,0,True
363,1,2,11,0.5,0.5,21,10,2,10,False
364,1,2,11,0.5,0.5,21,10,2,10,True
365,1,2,11,0.5,0.5,21,10,2,20,False
366,1,2,11,0.5,0.5,21,10,2,20,True
367,1,2,11,0.644,0.662,21,10,12,0,False
368,1,2,11,0.644,0.662,21,10,12,0,True
369,1,2,11,0.5,0.5,21,10,12,10,False
370,1,2,11,0.5,0.5,21,10,12,10,True
371,1,2,11,0.5,0.5,21,10,12,20,False
372,1,2,11,0.5,0.5,21,10,12,20,True
373,1,2,11,0.644,0.662,21,10,22,0,False
374,1,2,11,0.644,0.662,21,10,22,0,True
375,1,2,11,0.5,0.5,21,10,22,10,False
376,1,2,11,0.5,0.5,21,10,22,10,True
377,1,2,11,0.5,0.5,21,10,22,20,False
378,1,2,11,0.5,0.5,21,10,22,20,True
379,1,2,11,0.644,0.662,21,10,32,0,False
380,1,2,11,0.644,0.662,21,10,32,0,True
381,1,2,11,0.5,0.5,21,10,32,10,False
382,1,2,11,0.5,0.5,21,10,32,10,True
383,1,2,11,0.5,0.5,21,10,32,20,False
384,1,2,11,0.5,0.5,21,10,32,20,True
385,1,2,11,0.791,0.778,21,10,2,0,False
386,1,2,11,0.791,0.778,21,10,2,0,True
387,1,2,11,0.5,0.5,21,10,2,10,False
388,1,2,11,0.5,0.5,21,10,2,10,True
389,1,2,11,0.5,0.5,21,10,2,20,False
390,1,2,11,0.5,0.5,21,10,2,20,True
391,1,2,11,0.791,0.778,21,10,12,0,False
392,1,2,11,0.791,0.778,21,10,12,0,True
393,1,2,11,0.5,0.5,21,10,12,10,False
394,1,2,11,0.5,0.5,21,10,12,10,True
395,1,2,11,0.5,0.5,21,10,12,20,False
396,1,2,11,0.5,0.5,21,10,12,20,True
397,1,2,11,0.791,0.778,21,10,22,0,False
398,1,2,11,0.791,0.778,21,10,22,0,True
399,1,2,11,0.5,0.5,21,10,22,10,False
400,1,2,11,0.5,0.5,21,10,22,10,True
401,1,2,11,0.5,0.5,21,10,22,20,False
402,1,2,11,0.5,0.5,21,10,22,20,True
403,1,2,11,0.791,0.778,21,10,32,0,False
404,1,2,11,0.791,0.778,21,10,32,0,True
405,1,2,11,0.5,0.5,21,10,32,10,False
406,1,2,11,0.5,0.5,21,10,32,10,True
407,1,2,11,0.5,0.5,21,10,32,20,False
408,1,2,11,0.5,0.5,21,10,32,20,True
409,1,2,11,0.791,0.778,21,10,2,0,False
410,1,2,11,0.791,0.778,21,10,2,0,True
411,1,2,11,0.5,0.5,21,10,2,10,False
412,1,2,11,0.5,0.5,21,10,2,10,True
413,1,2,11,0.5,0.5,21,10,2,20,False
414,1,2,11,0.5,0.5,21,10,2,20,True
415,1,2,11,0.791,0.778,21,10,12,0,False
416,1,2,11,0.791,0.778,21,10,12,0,True
417,1,2,11,0.5,0.5,21,10,12,10,False
418,1,2,11,0.5,0.5,21,10,12,10,True
419,1,2,11,0.5,0.5,21,10,12,20,False
420,1,2,11,0.5,0.5,21,10,12,20,True
421,1,2,11,0.791,0.778,21,10,22,0,False
422,1,2,11,0.791,0.778,21,10,22,0,True
423,1,2,11,0.5,0.5,21,10,22,10,False
424,1,2,11,0.5,0.5,21,10,22,10,True
425,1,2,11,0.5,0.5,21,10,22,20,False
426,1,2,11,0.5,0.5,21,10,22,20,True
427,1,2,11,0.791,0.778,21,10,32,0,False
428,1,2,11,0.791,0.778,21,10,32,0,True
429,1,2,11,0.5,0.5,21,10,32,10,False
430,1,2,11,0.5,0.5,21,10,32,10,True
431,1,2,11,0.5,0.5,21,10,32,20,False
432,1,2,11,0.5,0.5,21,10,32,20,True
433,1,2,21,0.644,0.662,1,10,2,0,False
434,1,2,21,0.644,0.662,1,10,2,0,True
435,1,2,21,0.5,0.5,1,10,2,10,False
436,1,2,21,0.5,0.5,1,10,2,10,True
437,1,2,21,0.5,0.5,1,10,2,20,False
438,1,2,21,0.5,0.5,1,10,2,20,True
439,1,2,21,0.644,0.662,1,10,12,0,False
440,1,2,21,0.644,0.662,1,10,12,0,True
441,1,2,21,0.5,0.5,1,10,12,10,False
442,1,2,21,0.5,0.5,1,10,12,10,True
443,1,2,21,0.5,0.5,1,10,12,20,False
444,1,2,21,0.5,0.5,1,10,12,20,True
445,1,2,21,0.644,0.662,1,10,22,0,False
446,1,2,21,0.644,0.662,1,10,22,0,True
447,1,2,21,0.5,0.5,1,10,22,10,False
448,1,2,21,0.5,0.5,1,10,22,10,True
449,1,2,21,0.5,0.5,1,10,22,20,False
450,1,2,21,0.5,0.5,1,10,22,20,True
451,1,2,21,0.644,0.662,1,10,32,0,False
452,1,2,21,0.644,0.662,1,10,32,0,True
453,1,2,21,0.5,0.5,1,10,32,10,False
454,1,2,21,0.5,0.5,1,10,32,10,True
455,1,2,21,0.5,0.5,1,10,32,20,False
456,1,2,21,0.5,0.5,1,10,32,20,True
457,1,2,21,0.791,0.778,1,10,2,0,False
458,1,2,21,0.791,0.778,1,10,2,0,True
459,1,2,21,0.5,0.5,1,10,2,10,False
460,1,2,21,0.5,0.5,1,10,2,10,True
461,1,2,21,0.5,0.5,1,10,2,20,False
462,1,2,21,0.5,0.5,1,10,2,20,True
463,1,2,21,0.791,0.778,1,10,12,0,False
464,1,2,21,0.791,0.778,1,10,12,0,True
465,1,2,21,0.5,0.5,1,10,12,10,False
466,1,2,21,0.5,0.5,1,10,12,10,True
467,1,2,21,0.5,0.5,1,10,12,20,False
468,1,2,21,0.5,0.5,1,10,12,20,True
469,1,2,21,0.791,0.778,1,10,22,0,False
470,1,2,21,0.791,0.778,1,10,22,0,True
471,1,2,21,0.5,0.5,1,10,22,10,False
472,1,2,21,0.5,0.5,1,10,22,10,True
473,1,2,21,0.5,0.5,1,10,22,20,False
474,1,2,21,0.5,0.5,1,10,22,20,True
475,1,2,21,0.791,0.778,1,10,32,0,False
476,1,2,21,0.791,0.778,1,10,32,0,True
477,1,2,21,0.5,0.5,1,10,32,10,False
478,1,2,21,0.5,0.5,1,10,32,10,True
479,1,2,21,0.5,0.5,1,10,32,20,False
480,1,2,21,0.5,0.5,1,10,32,20,True
481,1,2,21,0.791,0.778,1,10,2,0,False
482,1,2,21,0.791,0.778,1,10,2,0,True
483,1,2,21,0.5,0.5,1,10,2,10,False
484,1,2,21,0.5,0.5,1,10,2,10,True
485,1,2,21,0.5,0.5,1,10,2,20,False
486,1,2,21,0.5,0.5,1,10,2,20,True
487,1,2,21,0.791,0.778,1,10,12,0,False
488,1,2,21,0.791,0.778,1,10,12,0,True
489,1,2,21,0.5,0.5,1,10,12,10,False
490,1,2,21,0.5,0.5,1,10,12,10,True
491,1,2,21,0.5,0.5,1,10,12,20,False
492,1,2,21,0.5,0.5,1,10,12,20,True
493,1,2,21,0.791,0.778,1,10,22,0,False
494,1,2,21,0.791,0.778,1,10,22,0,True
495,1,2,21,0.5,0.5,1,10,22,10,False
496,1,2,21,0.5,0.5,1,10,22,10,True
497,1,2,21,0.5,0.5,1,10,22,20,False
498,1,2,21,0.5,0.5,1,10,22,20,True
499,1,2,21,0.791,0.778,1,10,32,0,False
500,1,2,21,0.791,0.778,1,10,32,0,True
501,1,2,21,0.5,0.5,1,10,32,10,False
502,1,2,21,0.5,0.5,1,10,32,10,True
503,1,2,21,0.5,0.5,1,10,32,20,False
504,1,2,21,0.5,0.5,1,10,32,20,True
505,1,2,21,0.644,0.662,11,10,2,0,False
506,1,2,21,0.644,0.662,11,10,2,0,True
507,1,2,21,0.5,0.5,11,10,2,10,False
508,1,2,21,0.5,0.5,11,10,2,10,True
509,1,2,21,0.5,0.5,11,10,2,20,False
510,1,2,21,0.5,0.5,11,10,2,20,True
511,1,2,21,0.644,0.662,11,10,12,0,False
512,1,2,21,0.644,0.662,11,10,12,0,True
513,1,2,21,0.5,0.5,11,10,12,10,False
514,1,2,21,0.5,0.5,11,10,12,10,True
